"V1" "V2" "V3" "V1.1" "V2.1" "V6"
"Gnai3" "ENSMUSG00000000001_Gnai3" "protein_coding" "3" "ENSMUSG00000000001" "Gnai3" "Gnai3"
"Cdc45" "ENSMUSG00000000028_Cdc45" "protein_coding" "16" "ENSMUSG00000000028" "Cdc45" "Cdc45"
"H19" "ENSMUSG00000000031_H19" "lincRNA" "7" "ENSMUSG00000000031" "H19" "H19"
"Scml2" "ENSMUSG00000000037_Scml2" "protein_coding" "X" "ENSMUSG00000000037" "Scml2" "Scml2"
"Apoh" "ENSMUSG00000000049_Apoh" "protein_coding" "11" "ENSMUSG00000000049" "Apoh" "Apoh"
"Narf" "ENSMUSG00000000056_Narf" "protein_coding" "11" "ENSMUSG00000000056" "Narf" "Narf"
"Cav2" "ENSMUSG00000000058_Cav2" "protein_coding" "6" "ENSMUSG00000000058" "Cav2" "Cav2"
"Klf6" "ENSMUSG00000000078_Klf6" "protein_coding" "13" "ENSMUSG00000000078" "Klf6" "Klf6"
"Scmh1" "ENSMUSG00000000085_Scmh1" "protein_coding" "4" "ENSMUSG00000000085" "Scmh1" "Scmh1"
"Cox5a" "ENSMUSG00000000088_Cox5a" "protein_coding" "9" "ENSMUSG00000000088" "Cox5a" "Cox5a"
"Tbx2" "ENSMUSG00000000093_Tbx2" "protein_coding" "11" "ENSMUSG00000000093" "Tbx2" "Tbx2"
"Tbx4" "ENSMUSG00000000094_Tbx4" "protein_coding" "11" "ENSMUSG00000000094" "Tbx4" "Tbx4"
"Zfy2" "ENSMUSG00000000103_Zfy2" "protein_coding" "Y" "ENSMUSG00000000103" "Zfy2" "Zfy2"
"Ngfr" "ENSMUSG00000000120_Ngfr" "protein_coding" "11" "ENSMUSG00000000120" "Ngfr" "Ngfr"
"Wnt3" "ENSMUSG00000000125_Wnt3" "protein_coding" "11" "ENSMUSG00000000125" "Wnt3" "Wnt3"
"Wnt9a" "ENSMUSG00000000126_Wnt9a" "protein_coding" "11" "ENSMUSG00000000126" "Wnt9a" "Wnt9a"
